




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
aminergic neurotransmitter loading into synaptic vesicle (GO:0015842)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
urea transport (GO:0015840)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
ribonucleoside diphosphate biosynthetic process (GO:0009188)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
iron import into cell (GO:0033212)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside diphosphate metabolic process (GO:0009185)	31	0	.74	-	 < 0.01	1.00E00	1.00E00
adiponectin-activated signaling pathway (GO:0033211)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
leptin-mediated signaling pathway (GO:0033210)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin filament assembly (GO:0031034)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
myosin filament organization (GO:0031033)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine transport (GO:0015838)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
amine transport (GO:0015837)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network to recycling endosome transport (GO:0044795)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glyoxal metabolic process (GO:1903189)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor-mediated signaling pathway (GO:0033209)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside diphosphate metabolic process (GO:0009179)	31	0	.74	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center organization (GO:0031023)	38	0	.90	-	 < 0.01	1.00E00	1.00E00
proline transport (GO:0015824)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ornithine transport (GO:0015822)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
cell cycle DNA replication (GO:0044786)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
leucine transport (GO:0015820)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
metaphase/anaphase transition of cell cycle (GO:0044784)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
fatty alcohol metabolic process (GO:1903173)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate catabolic process (GO:0009169)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion transmembrane transport (GO:1903170)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	27	0	.64	-	 < 0.01	1.00E00	1.00E00
nucleoside catabolic process (GO:0009164)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	39	0	.93	-	 < 0.01	1.00E00	1.00E00
habituation (GO:0046959)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
nonassociative learning (GO:0046958)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-leader removal (GO:0001682)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
ketone body catabolic process (GO:0046952)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
meiotic DNA integrity checkpoint (GO:0044778)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ketone body biosynthetic process (GO:0046951)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transport (GO:0015813)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
cellular ketone body metabolic process (GO:0046950)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
L-cystine transport (GO:0015811)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
aspartate transmembrane transport (GO:0015810)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transmembrane transport (GO:1903169)	30	0	.71	-	 < 0.01	1.00E00	1.00E00
response to starvation (GO:0042594)	48	0	1.14	-	 < 0.01	6.30E-01	1.00E00
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of stimulus involved in sensory perception of pain (GO:0062149)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate catabolic process (GO:0009158)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate biosynthetic process (GO:0009156)	34	0	.81	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
arginine transport (GO:0015809)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
L-arginine import across plasma membrane (GO:0097638)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin assembly or disassembly (GO:0001672)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid transport (GO:0015803)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
basic amino acid transport (GO:0015802)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transport (GO:0015800)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
multi-organism cellular process (GO:0044764)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of morphogenesis of an epithelium (GO:1905332)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of morphogenesis of an epithelium (GO:1905331)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial protein processing (GO:0034982)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
response to hypoxia (GO:0001666)	57	0	1.35	-	 < 0.01	6.45E-01	1.00E00
pore complex assembly (GO:0046931)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
potassium ion export across plasma membrane (GO:0097623)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of autophagy of mitochondrion (GO:1903146)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
retinal metabolic process (GO:0042574)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
retinoic acid metabolic process (GO:0042573)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of establishment of endothelial barrier (GO:1903142)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
retinol metabolic process (GO:0042572)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of endothelial barrier (GO:1903140)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein folding in endoplasmic reticulum (GO:0034975)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleoside diphosphate biosynthetic process (GO:0009136)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
purine nucleoside diphosphate metabolic process (GO:0009135)	31	0	.74	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial gene expression (GO:0062125)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
histone H3-R26 methylation (GO:0034972)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate biosynthetic process (GO:0009133)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
temperature homeostasis (GO:0001659)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
ureteric bud development (GO:0001657)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Fc receptor signaling pathway (GO:0038093)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of neurotransmitter secretion (GO:0046929)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of CREB transcription factor activity (GO:0032793)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
nodal signaling pathway (GO:0038092)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter secretion (GO:0046928)	29	0	.69	-	 < 0.01	1.00E00	1.00E00
negative regulation of CREB transcription factor activity (GO:0032792)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosome disassembly (GO:0032790)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
protein transmembrane import into intracellular organelle (GO:0044743)	26	0	.62	-	 < 0.01	1.00E00	1.00E00
histone arginine methylation (GO:0034969)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
mononuclear cell differentiation (GO:1903131)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate catabolic process (GO:0009128)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate biosynthetic process (GO:0009127)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound catabolic process (GO:0042560)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	27	0	.64	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNA processing (GO:0034964)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate catabolic process (GO:0009125)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNA processing (GO:0034963)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate biosynthetic process (GO:0009124)	38	0	.90	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	44	0	1.05	-	 < 0.01	6.28E-01	1.00E00
osteoblast differentiation (GO:0001649)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-templated transcription, elongation (GO:0032786)	18	0	.43	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA-templated transcription, elongation (GO:0032785)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor signaling pathway (GO:0038084)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
bile acid secretion (GO:0032782)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATPase activity (GO:0032781)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATPase activity (GO:0032780)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of cohesin loading (GO:1905309)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
hemolysis in other organism involved in symbiotic interaction (GO:0052331)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation by organism of programmed cell death in other organism involved in symbiotic interaction (GO:0052330)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound biosynthetic process (GO:0042559)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound metabolic process (GO:0042558)	28	0	.67	-	 < 0.01	1.00E00	1.00E00
regulation of autophagosome assembly (GO:2000785)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
superoxide anion generation (GO:0042554)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of double-strand break repair (GO:2000781)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-strand break repair (GO:2000780)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
neuron maturation (GO:0042551)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
xanthine catabolic process (GO:0009115)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleobase biosynthetic process (GO:0009113)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
vitamin catabolic process (GO:0009111)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA methylation on cytosine (GO:0032776)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
vitamin biosynthetic process (GO:0009110)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
leukocyte chemotaxis (GO:0030595)	81	0	1.92	-	 < 0.01	2.68E-01	1.00E00
regulation of mitochondrial membrane permeability (GO:0046902)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
neutrophil chemotaxis (GO:0030593)	69	0	1.64	-	 < 0.01	4.13E-01	1.00E00
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of double-strand break repair (GO:2000779)	19	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-6 secretion (GO:2000778)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
protein localization to actin cytoskeleton (GO:1903119)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin filament-based movement (GO:1903116)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cell wall biogenesis (GO:0042546)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular senescence (GO:2000773)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament-based movement (GO:1903115)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cellular senescence (GO:2000772)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein N-linked glycosylation via arginine (GO:0042543)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
coenzyme catabolic process (GO:0009109)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
response to hydrogen peroxide (GO:0042542)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
hemoglobin biosynthetic process (GO:0042541)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
p38MAPK cascade (GO:0038066)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen-activated signaling pathway (GO:0038065)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
NIK/NF-kappaB signaling (GO:0038061)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
positive regulation of nephron tubule epithelial cell differentiation (GO:2000768)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic translation (GO:2000767)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
hypotonic salinity response (GO:0042539)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytoplasmic translation (GO:2000766)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translation (GO:2000765)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
benzene-containing compound metabolic process (GO:0042537)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
cellular response to fluid shear stress (GO:0071498)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to external stimulus (GO:0071496)	48	0	1.14	-	 < 0.01	6.30E-01	1.00E00
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to UV-C (GO:0071494)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to UV-B (GO:0071493)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-8 production (GO:0032757)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent SMAD protein catabolic process (GO:0030579)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
Cajal body organization (GO:0030576)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear body organization (GO:0030575)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
collagen catabolic process (GO:0030574)	25	0	.59	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to light stimulus (GO:0071482)	53	0	1.26	-	 < 0.01	6.37E-01	1.00E00
cellular response to X-ray (GO:0071481)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to gamma radiation (GO:0071480)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-2 production (GO:0032743)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterior head development (GO:2000744)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anterior head development (GO:2000742)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to ionizing radiation (GO:0071479)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
cellular response to radiation (GO:0071478)	63	0	1.50	-	 < 0.01	4.07E-01	1.00E00
cellular hypotonic salinity response (GO:0071477)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of receptor signaling pathway via STAT (GO:1904894)	12	0	.29	-	 < 0.01	1.00E00	1.00E00
cellular hypotonic response (GO:0071476)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor signaling pathway via STAT (GO:1904893)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of receptor signaling pathway via STAT (GO:1904892)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
cellular response to salt stress (GO:0071472)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to osmotic stress (GO:0071470)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
signal transduction in absence of ligand (GO:0038034)	15	0	.36	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-10 production (GO:0032733)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of stem cell differentiation (GO:2000738)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of stem cell differentiation (GO:2000737)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of stem cell differentiation (GO:2000736)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
regulation of excitatory synapse assembly (GO:1904889)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to acidic pH (GO:0071468)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to pH (GO:0071467)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to xenobiotic stimulus (GO:0071466)	81	0	1.92	-	 < 0.01	2.68E-01	1.00E00
positive regulation of interferon-gamma production (GO:0032729)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of interferon-beta production (GO:0032728)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
response to auditory stimulus (GO:0010996)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
free ubiquitin chain polymerization (GO:0010994)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
detoxification of inorganic compound (GO:0061687)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
ubiquitin recycling (GO:0010992)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of chemokine production (GO:0032722)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of SMAD protein complex assembly (GO:0010991)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of SMAD protein complex assembly (GO:0010990)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of tumor necrosis factor production (GO:0032720)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chaperone-mediated autophagy (GO:0061684)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell differentiation (GO:2000727)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell differentiation (GO:2000726)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell differentiation (GO:2000725)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
protein localization to chromosome, centromeric region (GO:0071459)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to hypoxia (GO:0071456)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen levels (GO:0071453)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to superoxide (GO:0071451)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen radical (GO:0071450)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-8 production (GO:0032717)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-5 production (GO:0032714)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
larval behavior (GO:0030537)	13	0	.31	-	 < 0.01	1.00E00	1.00E00
adult behavior (GO:0030534)	16	0	.38	-	 < 0.01	1.00E00	1.00E00
membrane depolarization (GO:0051899)	11	0	.26	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein kinase B signaling (GO:0051898)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase B signaling (GO:0051897)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
positive regulation of focal adhesion assembly (GO:0051894)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of focal adhesion assembly (GO:0051893)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of cardioblast differentiation (GO:0051890)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
inhibitory synapse assembly (GO:1904862)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
excitatory synapse assembly (GO:1904861)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane permeabilization involved in programmed cell death (GO:1902686)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
netrin-activated signaling pathway (GO:0038007)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of receptor localization to synapse (GO:1902683)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
opioid receptor signaling pathway (GO:0038003)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome assembly (GO:0061668)	4	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
paracrine signaling (GO:0038001)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
N-terminal protein myristoylation (GO:0006499)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
N-terminal protein lipidation (GO:0006498)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein lipidation (GO:0006497)	66	0	1.57	-	 < 0.01	4.09E-01	1.00E00
intracellular estrogen receptor signaling pathway (GO:0030520)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein O-linked glycosylation (GO:0006493)	47	0	1.12	-	 < 0.01	6.29E-01	1.00E00
N-glycan processing (GO:0006491)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	10	0	.24	-	 < 0.01	1.00E00	1.00E00
killing of cells in other organism involved in symbiotic interaction (GO:0051883)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial membrane potential (GO:0051881)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
O-glycan processing, core 1 (GO:0016267)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
O-glycan processing (GO:0016266)	7	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	22	0	.52	-	 < 0.01	1.00E00	1.00E00
gap junction assembly (GO:0016264)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glucan biosynthetic process (GO:0010962)	3	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular magnesium ion homeostasis (GO:0010961)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
selenocysteine biosynthetic process (GO:0016260)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
magnesium ion homeostasis (GO:0010960)	6	0	.14	-	 < 0.01	1.00E00	1.00E00
dolichyl diphosphate biosynthetic process (GO:0006489)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of BMP signaling pathway (GO:0030514)	27	0	.64	-	 < 0.01	1.00E00	1.00E00
protein N-linked glycosylation (GO:0006487)	52	0	1.24	-	 < 0.01	6.35E-01	1.00E00
positive regulation of BMP signaling pathway (GO:0030513)	17	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	14	0	.33	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pigment granule aggregation in cell center (GO:0051877)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
C-terminal protein methylation (GO:0006481)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
pigment granule dispersal (GO:0051876)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
pigment granule localization (GO:0051875)	32	0	.76	-	 < 0.01	1.00E00	1.00E00
killing by host of symbiont cells (GO:0051873)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	9	0	.21	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell proliferation (GO:0071425)	8	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon guidance (GO:1902669)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transport (GO:0071423)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
selenocysteine metabolic process (GO:0016259)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transport (GO:0071422)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
manganese ion transmembrane transport (GO:0071421)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
N-glycan processing to lysosome (GO:0016256)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
attachment of GPI anchor to protein (GO:0016255)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein processing (GO:0010955)	5	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein processing (GO:0010954)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
