




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
alpha-beta T cell differentiation (GO:0046632)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
motile cilium assembly (GO:0044458)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell activation (GO:0046631)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
melanocyte proliferation (GO:0097325)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
melanocyte migration (GO:0097324)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane repolarization during ventricular cardiac muscle cell action potential (GO:1905026)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of membrane repolarization during ventricular cardiac muscle cell action potential (GO:1905024)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
plasma membrane tubulation (GO:0097320)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
purine nucleoside metabolic process (GO:0042278)	31	1	.60	+	1.66	4.60E-01	1.00E00
error-prone translesion synthesis (GO:0042276)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	41	1	.80	+	1.25	5.55E-01	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	47	0	.91	-	 < 0.01	1.00E00	1.00E00
anterior/posterior pattern specification involved in pronephros development (GO:0034672)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
response to lipopolysaccharide (GO:0032496)	58	1	1.13	-	.89	1.00E00	1.00E00
response to peptidoglycan (GO:0032494)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin receptor signaling pathway (GO:0046627)	9	1	.18	+	5.71	1.75E-01	1.00E00
regulation of insulin receptor signaling pathway (GO:0046626)	10	1	.19	+	5.14	1.91E-01	1.00E00
regulation of organ growth (GO:0046620)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation by symbiont of host programmed cell death (GO:0052042)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
amino acid import across plasma membrane (GO:0089718)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host programmed cell death (GO:0052040)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation involved in compound eye morphogenesis (GO:2000495)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-asparagine hydroxylation (GO:0042265)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid hydroxylation (GO:0042264)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA protection (GO:0042262)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Cdc42 protein signal transduction (GO:0032488)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
ncRNA catabolic process (GO:0034661)	16	1	.31	+	3.21	2.79E-01	1.00E00
ncRNA metabolic process (GO:0034660)	265	3	5.16	-	.58	4.98E-01	1.00E00
Rap protein signal transduction (GO:0032486)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of Ral protein signal transduction (GO:0032485)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
optic placode formation involved in camera-type eye formation (GO:0046619)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of Rab protein signal transduction (GO:0032483)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Rab protein signal transduction (GO:0032482)	85	0	1.65	-	 < 0.01	4.15E-01	1.00E00
positive regulation of type I interferon production (GO:0032481)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of type I interferon production (GO:0032480)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell contraction (GO:0106134)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to alcohol (GO:0097306)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
response to alcohol (GO:0097305)	20	0	.39	-	 < 0.01	1.00E00	1.00E00
programmed necrotic cell death (GO:0097300)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
mature ribosome assembly (GO:0042256)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-8 secretion (GO:2000483)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
ribosome assembly (GO:0042255)	34	0	.66	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-8 secretion (GO:2000482)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
protein kinase D signaling (GO:0089700)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
ribosome biogenesis (GO:0042254)	167	2	3.25	-	.62	7.75E-01	1.00E00
negative regulation of cAMP-dependent protein kinase activity (GO:2000480)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	125	3	2.43	+	1.23	7.38E-01	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	415	9	8.07	+	1.11	7.18E-01	1.00E00
retinoic acid catabolic process (GO:0034653)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of type I interferon production (GO:0032479)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
cortisol biosynthetic process (GO:0034651)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cortisol metabolic process (GO:0034650)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
otolith formation (GO:0032475)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
otolith morphogenesis (GO:0032474)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
intestinal cholesterol absorption (GO:0030299)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi calcium ion transport (GO:0032472)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of centrosome cycle (GO:0046607)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host signal transduction pathway (GO:0052027)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic centrosome separation (GO:0046604)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic centrosome separation (GO:0046602)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of centriole replication (GO:0046600)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cAMP-dependent protein kinase activity (GO:2000479)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
RNA repair (GO:0042245)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of hematopoietic stem cell migration (GO:2000472)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hematopoietic stem cell migration (GO:2000471)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular macromolecule biosynthetic process (GO:0034645)	835	16	16.25	-	.98	1.00E00	1.00E00
cellular response to UV (GO:0034644)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
Golgi calcium ion homeostasis (GO:0032468)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytokinesis (GO:0032467)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytokinesis (GO:0032466)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
formation of extrachromosomal circular DNA (GO:0001325)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
bone mineralization (GO:0030282)	14	1	.27	+	3.67	2.51E-01	1.00E00
positive regulation of excitatory postsynaptic potential (GO:2000463)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine catabolic process (GO:0034638)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate biosynthetic process (GO:0034637)	46	0	.89	-	 < 0.01	1.00E00	1.00E00
retinol transport (GO:0034633)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
endocytic recycling (GO:0032456)	26	1	.51	+	1.98	4.06E-01	1.00E00
negative regulation of ossification (GO:0030279)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of ossification (GO:0030278)	23	0	.45	-	 < 0.01	1.00E00	1.00E00
maintenance of gastrointestinal epithelium (GO:0030277)	10	1	.19	+	5.14	1.91E-01	1.00E00
entry into host (GO:0044409)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
adhesion of symbiont to host (GO:0044406)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
symbiotic process (GO:0044403)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamine modification (GO:0018199)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine modification (GO:0018198)	31	0	.60	-	 < 0.01	1.00E00	1.00E00
cellular protein-containing complex localization (GO:0034629)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid modification (GO:0018197)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-asparagine modification (GO:0018196)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process (GO:0034627)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine modification (GO:0018195)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
response to chemical (GO:0042221)	1333	29	25.93	+	1.12	5.40E-01	1.00E00
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
response to cocaine (GO:0042220)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
protein urmylation (GO:0032447)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to unfolded protein (GO:0034620)	47	1	.91	+	1.09	6.04E-01	1.00E00
thermosensory behavior (GO:0040040)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
replicative cell aging (GO:0001302)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
entry into host cell (GO:0030260)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	19	0	.37	-	 < 0.01	1.00E00	1.00E00
terpene metabolic process (GO:0042214)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
mitotic spindle checkpoint (GO:0071174)	9	1	.18	+	5.71	1.75E-01	1.00E00
cellular response to reactive oxygen species (GO:0034614)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
spindle assembly checkpoint (GO:0071173)	9	1	.18	+	5.71	1.75E-01	1.00E00
negative regulation of protein import (GO:1904590)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular protein localization (GO:0034613)	768	14	14.94	-	.94	1.00E00	1.00E00
response to tumor necrosis factor (GO:0034612)	57	0	1.11	-	 < 0.01	6.30E-01	1.00E00
site-specific DNA replication termination at RTS1 barrier (GO:0071171)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
melanosome organization (GO:0032438)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation, ncRNA-mediated (GO:0040033)	10	1	.19	+	5.14	1.91E-01	1.00E00
site-specific DNA replication termination (GO:0071170)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	30	0	.58	-	 < 0.01	1.00E00	1.00E00
snRNA modification (GO:0040031)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	37	1	.72	+	1.39	5.19E-01	1.00E00
lipid glycosylation (GO:0030259)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
lipid modification (GO:0030258)	132	2	2.57	-	.78	1.00E00	1.00E00
growth hormone secretion (GO:0030252)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein neddylation (GO:2000435)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein import (GO:1904589)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein neddylation (GO:2000434)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to glycoprotein (GO:1904587)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to heat (GO:0034605)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex assembly (GO:0071163)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine oxidation (GO:0018171)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipase A2 activity (GO:0032429)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic nuclear division (GO:0040020)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
autophagy of peroxisome (GO:0030242)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
skeletal muscle myosin thick filament assembly (GO:0030241)	10	1	.19	+	5.14	1.91E-01	1.00E00
RNA acetylation (GO:1990884)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
skeletal muscle thin filament assembly (GO:0030240)	11	1	.21	+	4.67	2.06E-01	1.00E00
rRNA acetylation (GO:1990882)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of apoptotic cell clearance (GO:2000425)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle arrest (GO:0071157)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of embryonic development (GO:0040019)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle arrest (GO:0071156)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of multicellular organism growth (GO:0040018)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of multicellular organism growth (GO:0040015)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of multicellular organism growth (GO:0040014)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyrromethane cofactor linkage (GO:0018160)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
lysosome localization (GO:0032418)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transmembrane transporter activity (GO:0032414)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transporter activity (GO:0032413)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
myofibril assembly (GO:0030239)	77	2	1.50	+	1.34	6.64E-01	1.00E00
regulation of ion transmembrane transporter activity (GO:0032412)	72	0	1.40	-	 < 0.01	6.50E-01	1.00E00
male sex determination (GO:0030238)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of transporter activity (GO:0032411)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
female sex determination (GO:0030237)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of transporter activity (GO:0032410)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
activin receptor signaling pathway involved in heart jogging (GO:0061372)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to methylmercury (GO:0051597)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process (GO:0051596)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
response to methylglyoxal (GO:0051595)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to calcium ion (GO:0051592)	42	0	.82	-	 < 0.01	1.00E00	1.00E00
protein oxidation (GO:0018158)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
response to cAMP (GO:0051591)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of thymocyte migration (GO:2000410)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of growth rate (GO:0040009)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transporter activity (GO:0032409)	74	0	1.44	-	 < 0.01	4.08E-01	1.00E00
resolution of mitotic recombination intermediates (GO:0071140)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	9	1	.18	+	5.71	1.75E-01	1.00E00
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
establishment of mitotic spindle localization (GO:0040001)	18	1	.35	+	2.86	3.07E-01	1.00E00
light-induced release of internally sequestered calcium ion (GO:0008377)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
melanosome transport (GO:0032402)	25	1	.49	+	2.06	3.94E-01	1.00E00
cellular response to chemokine (GO:1990869)	55	0	1.07	-	 < 0.01	6.29E-01	1.00E00
macrophage differentiation (GO:0030225)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
response to chemokine (GO:1990868)	55	0	1.07	-	 < 0.01	6.29E-01	1.00E00
monocyte differentiation (GO:0030224)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
neutrophil differentiation (GO:0030223)	22	0	.43	-	 < 0.01	1.00E00	1.00E00
AMP catabolic process (GO:0006196)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleotide catabolic process (GO:0006195)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
negative regulation of neurotransmitter transport (GO:0051589)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter transport (GO:0051588)	29	0	.56	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell migration (GO:2000406)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell migration (GO:2000405)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of T cell migration (GO:2000404)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
dopamine uptake involved in synaptic transmission (GO:0051583)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte migration (GO:2000403)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
peptide cross-linking (GO:0018149)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
negative regulation of lymphocyte migration (GO:2000402)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
resolution of recombination intermediates (GO:0071139)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of lymphocyte migration (GO:2000401)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
histone H4-R3 methylation (GO:0043985)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H4-K16 acetylation (GO:0043984)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
histone H4-K12 acetylation (GO:0043983)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H4-K8 acetylation (GO:0043982)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
histone H4-K5 acetylation (GO:0043981)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
epithelial structure maintenance (GO:0010669)	13	1	.25	+	3.95	2.36E-01	1.00E00
negative regulation of cardiac muscle cell apoptotic process (GO:0010667)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA catabolic process (GO:1902373)	14	1	.27	+	3.67	2.51E-01	1.00E00
regulation of cardiac muscle cell apoptotic process (GO:0010665)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle cell apoptotic process (GO:0010664)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
axon ensheathment (GO:0008366)	51	2	.99	+	2.02	2.68E-01	1.00E00
regulation of striated muscle cell apoptotic process (GO:0010662)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
megakaryocyte differentiation (GO:0030219)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Wnt protein secretion (GO:0061355)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of oocyte maturation (GO:1900194)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of muscle cell apoptotic process (GO:0010660)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
T cell differentiation (GO:0030217)	25	1	.49	+	2.06	3.94E-01	1.00E00
regulation of oocyte maturation (GO:1900193)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
keratinocyte differentiation (GO:0030216)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
hyaluronan catabolic process (GO:0030214)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex assembly (GO:0022618)	103	3	2.00	+	1.50	4.59E-01	1.00E00
hyaluronan biosynthetic process (GO:0030213)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
hyaluronan metabolic process (GO:0030212)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
extracellular matrix disassembly (GO:0022617)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heparin biosynthetic process (GO:0030210)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
GTP biosynthetic process (GO:0006183)	12	1	.23	+	4.28	2.22E-01	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	239	5	4.65	+	1.08	8.12E-01	1.00E00
cGMP biosynthetic process (GO:0006182)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
gland morphogenesis (GO:0022612)	12	1	.23	+	4.28	2.22E-01	1.00E00
biological adhesion (GO:0022610)	449	6	8.74	-	.69	4.86E-01	1.00E00
positive regulation of histone H3-K9 methylation (GO:0051574)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K4 methylation (GO:0051571)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA catabolic process (GO:1902369)	15	1	.29	+	3.43	2.65E-01	1.00E00
regulation of Notch signaling pathway involved in somitogenesis (GO:1902366)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heterocycle biosynthetic process (GO:0018130)	473	9	9.20	-	.98	1.00E00	1.00E00
negative regulation of muscle cell apoptotic process (GO:0010656)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
melanocyte apoptotic process (GO:1902362)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
maternal determination of anterior/posterior axis, embryo (GO:0008358)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of clathrin-dependent endocytosis (GO:1900186)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
germ cell migration (GO:0008354)	14	1	.27	+	3.67	2.51E-01	1.00E00
chondroitin sulfate biosynthetic process (GO:0030206)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
dermatan sulfate metabolic process (GO:0030205)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
guanine salvage (GO:0006178)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
non-canonical Wnt signaling pathway involved in heart development (GO:0061341)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to nucleus (GO:1900181)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate metabolic process (GO:0030204)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	31	0	.60	-	 < 0.01	1.00E00	1.00E00
GMP biosynthetic process (GO:0006177)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to nucleus (GO:1900180)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heparin metabolic process (GO:0030202)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan metabolic process (GO:0030201)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
adaptive thermogenesis (GO:1990845)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K4 methylation (GO:0051569)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan catabolic process (GO:0030200)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-K4 methylation (GO:0051568)	15	1	.29	+	3.43	2.65E-01	1.00E00
histone H3-K9 methylation (GO:0051567)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
ADP biosynthetic process (GO:0006172)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
cAMP biosynthetic process (GO:0006171)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
histone H2A acetylation (GO:0043968)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H4 acetylation (GO:0043967)	15	1	.29	+	3.43	2.65E-01	1.00E00
histone H3 acetylation (GO:0043966)	9	1	.18	+	5.71	1.75E-01	1.00E00
positive regulation of mitochondrial calcium ion concentration (GO:0051561)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial calcium ion homeostasis (GO:0051560)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
protein hydroxylation (GO:0018126)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
negative regulation of telomeric loop disassembly (GO:1904534)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of telomeric loop disassembly (GO:1904533)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transport (GO:1902358)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine ADP-ribosylation (GO:0018120)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
endothelial tube lumen extension involved in blood vessel lumen ensheathment (GO:1902355)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell delamination involved in blood vessel lumen ensheathment (GO:1902354)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of monopolar cell polarity (GO:0061339)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cell communication by electrical coupling (GO:0010644)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cardiac conduction (GO:0061337)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
glial cell migration (GO:0008347)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900176)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of neural crest formation (GO:0090299)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
larval locomotory behavior (GO:0008345)	13	1	.25	+	3.95	2.36E-01	1.00E00
regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900175)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
adult locomotory behavior (GO:0008344)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
adult feeding behavior (GO:0008343)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
renal tubule morphogenesis (GO:0061333)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
adenine salvage (GO:0006168)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
AMP biosynthetic process (GO:0006167)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
determination of adult lifespan (GO:0008340)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside salvage (GO:0006166)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate phosphorylation (GO:0006165)	36	1	.70	+	1.43	5.10E-01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	119	3	2.32	+	1.30	5.07E-01	1.00E00
response to odorant (GO:1990834)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleotide metabolic process (GO:0006163)	197	3	3.83	-	.78	1.00E00	1.00E00
protein K48-linked deubiquitination (GO:0071108)	13	1	.25	+	3.95	2.36E-01	1.00E00
cellular component maintenance (GO:0043954)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
negative regulation of cAMP-mediated signaling (GO:0043951)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
